date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2026-08-09,新潟,12,04262612,17:1020,17:370;6:240;15:190,3-8:1580,6-17:6100,6-17:2010;15-17:1020;6-15:960,17-6:10420,6-15-17:10020,17-6-15:70620
2026-08-09,札幌,1,01261601,10:780,10:210;12:110;4:610,7-8:470,10-12:620,10-12:300;4-10:2050;4-12:1130,10-12:1950,4-10-12:3440,10-12-4:21820
2026-08-09,札幌,2,01261602,5:210,5:110;9:120;1:180,5-7:290,5-9:350,5-9:190;1-5:340;1-9:560,5-9:630,1-5-9:980,5-9-1:2590
2026-08-09,札幌,3,01261603,4:420,4:160;10:150;9:270,4-8:630,4-10:830,4-10:380;4-9:850;9-10:940,4-10:1660,4-9-10:3240,4-10-9:16510
2026-08-09,札幌,4,01261604,10:340,10:150;6:210;5:350,4-6:420,6-10:920,6-10:390;5-10:1240;5-6:1170,10-6:1740,5-6-10:5250,10-6-5:21780
2026-08-09,札幌,5,01261605,11:240,11:120;13:150;10:400,7-8:240,11-13:570,11-13:290;10-11:1040;10-13:1140,11-13:1080,10-11-13:4030,11-13-10:11930
2026-08-09,札幌,6,01261606,11:440,11:170;10:240;5:260,6-7:720,10-11:1530,10-11:520;5-11:790;5-10:1030,11-10:2840,5-10-11:4560,11-10-5:19280
2026-08-09,札幌,7,01261607,4:180,4:110;3:140;7:180,2-2:500,3-4:550,3-4:250;4-7:270;3-7:630,4-3:770,3-4-7:1030,4-3-7:2630
2026-08-09,札幌,8,01261608,12:440,12:150;5:200;8:210,4-7:590,5-12:1420,5-12:540;8-12:600;5-8:830,12-5:2840,5-8-12:3830,12-5-8:17650
2026-08-09,札幌,9,01261609,10:980,10:230;11:180;1:310,5-6:1680,10-11:1930,10-11:710;1-10:1500;1-11:980,10-11:5060,1-10-11:6100,10-11-1:44170
