date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-07-27,新潟,2,04252202,5:110,5:110;6:130,,5-6:110,5-6:110;1-5:700;1-6:810,5-6:130,1-5-6:1030,5-6-1:1460
2025-07-27,新潟,3,04252203,7:280,7:110;8:260;2:110,7-8:880,7-8:2370,7-8:440;2-7:120;2-8:400,7-8:3680,2-7-8:810,7-8-2:8660
2025-07-27,新潟,4,04252204,3:660,3:230;9:570;12:410,2-5:5570,3-9:9610,3-9:1990;3-12:1510;9-12:5670,3-9:15460,3-9-12:36250,3-9-12:186180
2025-07-27,新潟,5,04252205,14:200,14:120;10:560;15:840,6-8:2310,10-14:3720,10-14:1310;14-15:1360;10-15:13380,14-10:4780,10-14-15:28650,14-10-15:76190
2025-07-27,新潟,6,04252206,5:320,5:170;7:320;10:330,5-6:1310,5-7:1510,5-7:490;5-10:570;7-10:1130,5-7:2660,5-7-10:3870,5-7-10:15710
2025-07-27,新潟,7,04252207,14:440,14:170;1:570;11:220,1-7:890;6-7:420,1-14:3620;11-14:760,1-14:2000;11-14:600;1-11:2610,14-1:5940;14-11:1310,1-11-14:12750,14-1-11:39780;14-11-1:24760
2025-07-27,新潟,8,04252208,9:250,9:130;12:300;2:300,5-7:1050,9-12:2180,9-12:890;2-9:720;2-12:1610,9-12:4340,2-9-12:7810,9-12-2:39320
2025-07-27,新潟,9,04252209,2:390,2:170;13:340;5:440,2-8:1350,2-13:2920,2-13:930;2-5:1030;5-13:3230,2-13:5150,2-5-13:12300,2-13-5:49370
2025-07-27,新潟,10,04252210,14:240,14:140;13:370;12:220,8-8:2140,13-14:1960,13-14:800;12-14:500;12-13:2000,14-13:2870,12-13-14:5290,14-13-12:18950
2025-07-27,新潟,11,04252211,3:3060,3:610;16:190;10:140,2-8:2590,3-16:6510,3-16:2170;3-10:1530;10-16:340,3-16:17610,3-10-16:5670,3-16-10:57980
2025-07-27,新潟,12,04252212,12:690,12:280;10:680;5:1630,5-6:910,10-12:6750,10-12:2140;5-12:6190;5-10:18740,12-10:12900,5-10-12:118350,12-10-5:479380
2025-07-27,札幌,1,01251201,3:2530,3:440;4:220;2:120,3-3:8540,3-4:7250,3-4:1790;2-3:860;2-4:340,3-4:14760,2-3-4:4430,3-4-2:43540
2025-07-27,札幌,2,01251202,11:680,11:200;10:490;8:150,6-7:2960,10-11:8920,10-11:2230;8-11:430;8-10:1000,11-10:16390,8-10-11:6030,11-10-8:57830
2025-07-27,札幌,3,01251203,3:220,3:130;12:270;11:150,3-7:410,3-12:1660,3-12:610;3-11:280;11-12:710,3-12:2320,3-11-12:2120,3-12-11:9540
2025-07-27,札幌,4,01251204,5:260,5:200;7:410;8:440,5-7:2060,5-7:1950,5-7:550;5-8:680;7-8:1420,5-7:2970,5-7-8:6280,5-7-8:22100
2025-07-27,札幌,5,01251205,6:180,6:110;5:140,,5-6:300,5-6:160;1-6:900;1-5:1250,6-5:420,1-5-6:1920,6-5-1:5080
2025-07-27,札幌,6,01251206,9:640,9:250;6:210;2:1290,6-8:1170,6-9:1300,6-9:470;2-9:3330;2-6:2870,9-6:3250,2-6-9:16030,9-6-2:78360
2025-07-27,札幌,7,01251207,8:1350,8:390;3:460;13:770,3-6:2820,3-8:7410,3-8:2230;8-13:4480;3-13:3980,8-3:15010,3-8-13:52890,8-3-13:308490
2025-07-27,札幌,8,01251208,2:250,2:120;3:260;4:200,,2-3:2060,2-3:550;2-4:350;3-4:1000,2-3:2680,2-3-4:3650,2-3-4:16970
2025-07-27,札幌,9,01251209,8:730,8:150;2:110;5:130,2-8:660,2-8:920,2-8:290;5-8:370;2-5:210,8-2:2160,2-5-8:680,8-2-5:6240
2025-07-27,札幌,10,01251210,2:330,2:130;3:120;4:190,,2-3:570,2-3:230;2-4:510;3-4:440,2-3:1170,2-3-4:1270,2-3-4:5680
2025-07-27,札幌,11,01251211,3:340,3:160;6:300;2:210,3-6:3120,3-6:2630,3-6:850;2-3:520;2-6:1040,3-6:4330,2-3-6:3900,3-6-2:20200
2025-07-27,札幌,12,01251212,2:520,2:150;5:150;3:170,,2-5:930,2-5:340;2-3:420;3-5:400,2-5:2210,2-3-5:1830,2-5-3:10110
