date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2026-07-12,函館,10,02261a10,6:980,6:290;5:420;8:510,5-5:5410,5-6:6380,5-6:1890;6-8:2960;5-8:3470,6-5:11360,5-6-8:33180,6-5-8:189330
2026-07-12,函館,11,02261a11,10:1110,10:420;12:380;4:170,6-7:2340,10-12:10030,10-12:3350;4-10:1180;4-12:1240,10-12:17770,4-10-12:18150,10-12-4:104440
2026-07-12,函館,12,02261a12,5:780,5:280;4:580;2:260,,4-5:7600,4-5:1620;2-5:550;2-4:1230,5-4:17400,2-4-5:8790,5-4-2:94910
2026-07-12,福島,1,03262601,3:330,3:150;13:710;6:140,3-8:670,3-13:8590,3-13:1920;3-6:240;6-13:1830,3-13:12600,3-6-13:5710,3-13-6:48150
2026-07-12,福島,2,03262602,2:540,2:180;15:110;1:420,2-8:320,2-15:610,2-15:330;1-2:2250;1-15:830,2-15:1390,1-2-15:6420,2-15-1:23280
2026-07-12,福島,3,03262603,9:150,9:110;13:290;6:150,5-7:880,9-13:1030,9-13:430;6-9:220;6-13:1070,9-13:1310,6-9-13:1370,9-13-6:5390
2026-07-12,福島,4,03262604,6:460,6:150;8:150;5:150,6-7:1700,6-8:1390,6-8:470;5-6:390;5-8:390,6-8:2790,5-6-8:1780,6-8-5:11420
2026-07-12,福島,5,03262605,12:210,12:120;4:160;14:580,2-6:390,4-12:640,4-12:350;12-14:1060;4-14:2160,12-4:820,4-12-14:4960,12-4-14:13120
2026-07-12,福島,6,03262606,12:1570,12:310;6:190;10:860,3-6:390,6-12:3500,6-12:1030;10-12:5430;6-10:3480,12-6:8400,6-10-12:40380,12-6-10:314270
2026-07-12,福島,7,03262607,4:430,4:200;12:310;10:230,2-6:710,4-12:3050,4-12:990;4-10:550;10-12:1120,4-12:5520,4-10-12:5100,4-12-10:26920
2026-07-12,福島,8,03262608,12:290,12:130;6:160;9:420,5-8:460,6-12:500,6-12:260;9-12:1640;6-9:2010,12-6:910,6-9-12:6990,12-6-9:23330
2026-07-12,福島,9,03262609,7:470,7:200;4:260;11:2730,3-5:1450,4-7:1730,4-7:670;7-11:7400;4-11:11630,7-4:3060,4-7-11:46330,7-4-11:151120
2026-07-12,福島,10,03262610,11:430,11:140;3:130;8:450,3-8:440,3-11:610,3-11:260;8-11:1360;3-8:1380,11-3:1360,3-8-11:4750,11-3-8:17660
2026-07-12,福島,11,03262611,11:500,11:240;6:370;9:1190,3-6:2310,6-11:3260,6-11:1080;9-11:6890;6-9:9380,11-6:5750,6-9-11:68290,11-6-9:223050
2026-07-12,福島,12,03262612,15:840,15:310;1:180;10:1180,1-8:1310,1-15:2400,1-15:830;10-15:4500;1-10:2900,15-1:4670,1-10-15:25550,15-1-10:99850
2026-07-12,小倉,1,10262601,10:330,10:180;2:850;11:330,1-5:4800,2-10:8320,2-10:2950;10-11:700;2-11:5960,10-2:13250,2-10-11:23430,10-2-11:93870
2026-07-12,小倉,2,10262602,9:450,9:180;6:240;10:530,4-6:1350,6-9:1630,6-9:490;9-10:1380;6-10:1590,9-6:2950,6-9-10:8220,9-6-10:29910
2026-07-12,小倉,3,10262603,2:300,2:140;5:120;7:140,2-3:310,2-5:370,2-5:180;2-7:400;5-7:280,2-5:760,2-5-7:750,2-5-7:2830
2026-07-12,小倉,4,10262604,7:380,7:150;12:190;6:140,5-8:590,7-12:1450,7-12:530;6-7:280;6-12:590,7-12:2320,6-7-12:1680,7-12-6:9710
2026-07-12,小倉,5,10262605,7:150,7:110;6:110;1:130,,6-7:280,6-7:150;1-7:250;1-6:320,7-6:360,1-6-7:560,7-6-1:1290
2026-07-12,小倉,6,10262606,4:540,4:150;6:110;5:260,4-6:450,4-6:460,4-6:210;4-5:870;5-6:530,4-6:1250,4-5-6:1890,4-6-5:8900
2026-07-12,小倉,7,10262607,4:440,4:160;5:150;12:180,3-3:890,4-5:910,4-5:360;4-12:560;5-12:590,4-5:1750,4-5-12:2310,4-5-12:9150
2026-07-12,小倉,8,10262608,1:310,1:130;2:130;3:230,1-2:450,1-2:460,1-2:240;1-3:790;2-3:670,1-2:940,1-2-3:2200,1-2-3:6080
2026-07-12,小倉,9,10262609,8:150,8:110;10:120;6:160,7-8:270,8-10:290,8-10:170;6-8:260;6-10:470,8-10:420,6-8-10:810,8-10-6:1730
2026-07-12,小倉,10,10262610,10:610,10:200;1:200;9:770,1-8:920,1-10:1430,1-10:590;9-10:3350;1-9:3480,10-1:2870,1-9-10:21180,10-1-9:89060
2026-07-12,小倉,11,10262611,6:1190,6:390;5:360;9:310,5-6:2810,5-6:5340,5-6:1580;6-9:1370;5-9:830,6-5:10850,5-6-9:9670,6-5-9:60920
2026-07-12,小倉,12,10262612,8:420,8:180;15:240;17:720,4-8:1110,8-15:1530,8-15:610;8-17:1970;15-17:3420,8-15:2830,8-15-17:14870,8-15-17:57510
